,Weekday - Level 2 - Diversified (Median) of 100 EVs
904,0.8096000000000001
905,0.8096000000000001
906,0.8096000000000001
907,0.8096000000000001
908,0.8096000000000001
909,0.8096000000000001
910,0.8096000000000001
911,0.8096000000000001
912,0.8096000000000001
913,0.8096000000000001
914,0.8096000000000001
915,0.8096000000000001
916,0.8096000000000001
917,0.8096000000000001
918,0.8096000000000001
919,0.8096000000000001
920,0.8096000000000001
921,0.8096000000000001
922,0.8096000000000001
923,0.8096000000000001
924,0.8096000000000001
925,0.8464
926,0.8464
927,0.8832000000000001
928,0.8832000000000001
929,0.8832000000000001
930,0.8832000000000001
931,0.8832000000000001
932,0.8832000000000001
933,0.8832000000000001
934,0.9568000000000001
935,0.9568000000000001
936,0.9568000000000001
937,0.9568000000000001
938,0.9568000000000001
939,0.9568000000000001
940,0.9568000000000001
941,0.9568000000000001
942,0.9568000000000001
943,0.9568000000000001
944,0.9568000000000001
945,0.9568000000000001
946,0.9568000000000001
947,0.9568000000000001
948,0.9568000000000001
949,0.9568000000000001
950,0.9568000000000001
951,0.9568000000000001
952,0.9568000000000001
953,0.9568000000000001
954,0.9568000000000001
955,0.9568000000000001
956,0.9568000000000001
957,0.9568000000000001
958,0.9568000000000001
959,0.9568000000000001
960,0.9568000000000001
961,0.9568000000000001
962,0.9568000000000001
963,0.9568000000000001
964,0.9568000000000001
965,0.9568000000000001
966,0.9568000000000001
967,0.9568000000000001
968,0.9568000000000001
969,0.9568000000000001
970,0.9568000000000001
971,0.9568000000000001
972,0.9568000000000001
973,0.9568000000000001
974,1.0304
975,1.0304
976,0.9936
977,0.9568000000000001
978,0.9568000000000001
979,0.9568000000000001
980,0.9568000000000001
981,1.0304
982,1.0304
983,1.0304
984,0.9936
985,1.0304
986,0.9936
987,0.9568000000000001
988,0.9568000000000001
989,0.9568000000000001
990,0.9568000000000001
991,0.9568000000000001
992,0.9568000000000001
993,0.9568000000000001
994,0.9568000000000001
995,0.9568000000000001
996,0.9568000000000001
997,1.0304
998,1.0304
999,1.0304
1000,1.0304
1001,0.9568000000000001
1002,1.0304
1003,1.0304
1004,1.0304
1005,1.0304
1006,1.0304
1007,1.0304
1008,1.0304
1009,1.0304
1010,1.0304
1011,1.0304
1012,1.0304
1013,1.0304
1014,1.0304
1015,1.0304
1016,1.0304
1017,1.0304
1018,1.0304
1019,1.0304
1020,1.0304
1021,1.104
1022,1.104
1023,1.104
1024,1.104
1025,1.104
1026,1.104
1027,1.104
1028,1.1776
1029,1.1776
1030,1.1776
1031,1.1776
1032,1.1776
1033,1.1776
1034,1.1776
1035,1.2512
1036,1.2512
1037,1.2512
1038,1.2880000000000003
1039,1.3248000000000002
1040,1.3248000000000002
1041,1.3248000000000002
1042,1.3248000000000002
1043,1.3248000000000002
1044,1.3248000000000002
1045,1.3248000000000002
1046,1.3248000000000002
1047,1.3248000000000002
1048,1.3248000000000002
1049,1.3616000000000001
1050,1.3984000000000003
1051,1.3984000000000003
1052,1.3984000000000003
1053,1.3984000000000003
1054,1.4720000000000004
1055,1.4720000000000004
1056,1.4720000000000004
1057,1.4720000000000004
1058,1.4720000000000004
1059,1.4720000000000004
1060,1.4720000000000004
1061,1.4720000000000004
1062,1.4720000000000004
1063,1.5088000000000004
1064,1.5456000000000005
1065,1.5456000000000005
1066,1.5456000000000005
1067,1.5456000000000005
1068,1.5456000000000005
1069,1.6192000000000006
1070,1.6192000000000006
1071,1.6192000000000006
1072,1.6192000000000006
1073,1.6192000000000006
1074,1.6192000000000006
1075,1.6192000000000006
1076,1.692800000000001
1077,1.692800000000001
1078,1.692800000000001
1079,1.692800000000001
1080,1.692800000000001
1081,1.692800000000001
1082,1.692800000000001
1083,1.692800000000001
1084,1.692800000000001
1085,1.692800000000001
1086,1.692800000000001
1087,1.692800000000001
1088,1.692800000000001
1089,1.692800000000001
1090,1.692800000000001
1091,1.692800000000001
1092,1.692800000000001
1093,1.692800000000001
1094,1.766400000000001
1095,1.766400000000001
1096,1.766400000000001
1097,1.766400000000001
1098,1.766400000000001
1099,1.766400000000001
1100,1.766400000000001
1101,1.766400000000001
1102,1.766400000000001
1103,1.766400000000001
1104,1.8400000000000012
1105,1.8400000000000012
1106,1.8400000000000012
1107,1.8400000000000012
1108,1.8400000000000012
1109,1.9136000000000013
1110,1.8768000000000011
1111,1.8400000000000012
1112,1.8400000000000012
1113,1.8400000000000012
1114,1.8400000000000012
1115,1.8400000000000012
1116,1.8400000000000012
1117,1.8400000000000012
1118,1.8400000000000012
1119,1.8400000000000012
1120,1.8400000000000012
1121,1.8400000000000012
1122,1.9136000000000013
1123,1.9136000000000013
1124,1.9136000000000013
1125,1.9136000000000013
1126,1.9136000000000013
1127,1.9136000000000013
1128,1.9136000000000013
1129,1.9136000000000013
1130,1.9872000000000014
1131,1.9872000000000014
1132,1.9872000000000014
1133,1.9872000000000014
1134,1.9872000000000014
1135,1.9872000000000014
1136,1.9872000000000014
1137,1.9872000000000014
