,Weekend - Level 2 - Diversified (Median) of 100 EVs
538,0.18031999999999998
539,0.18031999999999998
540,0.20607999999999999
541,0.20607999999999999
542,0.20607999999999999
543,0.20607999999999999
544,0.20607999999999999
545,0.20607999999999999
546,0.20607999999999999
547,0.20607999999999999
548,0.20607999999999999
549,0.20607999999999999
550,0.20607999999999999
551,0.20607999999999999
552,0.20607999999999999
553,0.20607999999999999
554,0.20607999999999999
555,0.20607999999999999
556,0.20607999999999999
557,0.20607999999999999
558,0.20607999999999999
559,0.20607999999999999
560,0.2576
561,0.2576
562,0.2576
563,0.20607999999999999
564,0.2576
565,0.2576
566,0.2576
567,0.2576
568,0.2576
569,0.2576
570,0.2576
571,0.2576
572,0.2576
573,0.2576
574,0.2576
575,0.2576
576,0.2576
577,0.2576
578,0.2576
579,0.2576
580,0.2576
581,0.2576
582,0.2576
583,0.2576
584,0.2576
585,0.28336
586,0.30912
587,0.30912
588,0.30912
589,0.30912
590,0.30912
591,0.30912
592,0.30912
593,0.30912
594,0.30912
595,0.30912
596,0.30912
597,0.30912
598,0.30912
599,0.30912
600,0.30912
601,0.36063999999999996
602,0.36063999999999996
603,0.36063999999999996
604,0.36063999999999996
605,0.33487999999999996
606,0.33487999999999996
607,0.36063999999999996
608,0.36063999999999996
609,0.36063999999999996
610,0.36063999999999996
611,0.36063999999999996
612,0.36063999999999996
613,0.36063999999999996
614,0.36063999999999996
615,0.36063999999999996
616,0.36063999999999996
617,0.36063999999999996
618,0.36063999999999996
619,0.36063999999999996
620,0.36063999999999996
621,0.36063999999999996
622,0.41215999999999997
623,0.41215999999999997
624,0.41215999999999997
625,0.41215999999999997
626,0.41215999999999997
627,0.41215999999999997
628,0.41215999999999997
629,0.41215999999999997
630,0.41215999999999997
631,0.41215999999999997
632,0.41215999999999997
633,0.41215999999999997
634,0.41215999999999997
635,0.41215999999999997
636,0.41215999999999997
637,0.41215999999999997
638,0.41215999999999997
639,0.41215999999999997
640,0.46368000000000004
641,0.46368000000000004
642,0.46368000000000004
643,0.46368000000000004
644,0.46368000000000004
645,0.46368000000000004
646,0.46368000000000004
647,0.46368000000000004
648,0.46368000000000004
649,0.46368000000000004
650,0.5152
651,0.46368000000000004
652,0.46368000000000004
653,0.46368000000000004
654,0.48944
655,0.46368000000000004
656,0.46368000000000004
657,0.46368000000000004
658,0.48944
659,0.5152
660,0.48944
661,0.48944
662,0.48944
663,0.5152
664,0.5152
665,0.5152
666,0.5152
667,0.5152
668,0.5152
669,0.5152
670,0.5152
671,0.5152
672,0.5152
673,0.5152
674,0.5152
675,0.5152
676,0.5152
677,0.5152
678,0.5152
679,0.5152
680,0.5152
681,0.5152
682,0.56672
683,0.56672
684,0.56672
685,0.56672
686,0.56672
687,0.56672
688,0.56672
689,0.56672
690,0.56672
691,0.56672
692,0.56672
693,0.59248
694,0.61824
695,0.61824
696,0.61824
697,0.61824
698,0.61824
699,0.61824
700,0.61824
701,0.61824
702,0.61824
703,0.61824
704,0.61824
705,0.644
706,0.66976
707,0.644
708,0.66976
709,0.61824
710,0.66976
711,0.66976
712,0.644
713,0.644
714,0.644
715,0.61824
716,0.61824
717,0.61824
718,0.644
719,0.61824
720,0.66976
721,0.66976
722,0.66976
723,0.66976
724,0.66976
725,0.66976
726,0.66976
727,0.66976
728,0.66976
729,0.66976
730,0.66976
731,0.66976
732,0.61824
733,0.66976
734,0.66976
735,0.6955199999999999
736,0.66976
737,0.66976
738,0.66976
739,0.7212799999999999
740,0.7212799999999999
741,0.66976
742,0.7212799999999999
743,0.7212799999999999
744,0.7212799999999999
745,0.7212799999999999
746,0.7212799999999999
747,0.7212799999999999
748,0.7212799999999999
749,0.7212799999999999
750,0.7212799999999999
751,0.7212799999999999
752,0.7728
753,0.7470399999999999
754,0.7728
755,0.7728
756,0.7728
757,0.7728
758,0.7728
759,0.7728
760,0.7728
761,0.7728
762,0.7728
763,0.7728
764,0.7728
765,0.7728
766,0.7728
767,0.7728
768,0.7728
769,0.7728
770,0.7728
771,0.7728
772,0.7728
773,0.7728
774,0.7728
775,0.7728
776,0.7728
777,0.7728
778,0.7728
779,0.7728
780,0.7728
781,0.7728
782,0.7728
783,0.7728
784,0.7728
785,0.7728
786,0.8243199999999999
787,0.7728
788,0.7728
789,0.7728
790,0.8243199999999999
791,0.8243199999999999
792,0.8243199999999999
793,0.8243199999999999
794,0.8243199999999999
795,0.8243199999999999
796,0.8243199999999999
797,0.8243199999999999
798,0.8243199999999999
799,0.8243199999999999
800,0.8243199999999999
801,0.8243199999999999
802,0.8243199999999999
803,0.8243199999999999
804,0.87584
805,0.87584
806,0.8243199999999999
807,0.8243199999999999
808,0.8243199999999999
809,0.8243199999999999
810,0.8243199999999999
811,0.8243199999999999
812,0.8243199999999999
813,0.8243199999999999
814,0.8243199999999999
815,0.8243199999999999
816,0.85008
817,0.85008
818,0.85008
819,0.85008
820,0.8243199999999999
821,0.85008
822,0.87584
823,0.87584
824,0.85008
825,0.87584
826,0.87584
827,0.87584
828,0.87584
829,0.8243199999999999
830,0.85008
831,0.87584
832,0.87584
833,0.87584
834,0.87584
835,0.87584
836,0.8243199999999999
837,0.8243199999999999
838,0.85008
839,0.8243199999999999
840,0.85008
841,0.8243199999999999
842,0.8243199999999999
843,0.8243199999999999
844,0.8243199999999999
845,0.85008
846,0.87584
847,0.87584
848,0.87584
849,0.87584
850,0.87584
851,0.87584
852,0.87584
853,0.87584
854,0.87584
855,0.87584
856,0.87584
857,0.87584
858,0.87584
859,0.87584
860,0.87584
861,0.87584
862,0.87584
863,0.87584
864,0.87584
865,0.87584
866,0.87584
867,0.87584
868,0.9016
869,0.87584
870,0.87584
871,0.87584
872,0.87584
873,0.87584
874,0.87584
875,0.87584
876,0.87584
877,0.87584
878,0.87584
879,0.87584
880,0.87584
881,0.87584
882,0.87584
883,0.87584
884,0.87584
885,0.87584
886,0.87584
887,0.87584
888,0.87584
889,0.87584
890,0.87584
891,0.87584
892,0.87584
893,0.87584
894,0.87584
895,0.87584
896,0.87584
897,0.87584
898,0.87584
899,0.87584
900,0.87584
901,0.87584
902,0.87584
903,0.87584
904,0.87584
905,0.87584
906,0.87584
907,0.87584
908,0.87584
909,0.87584
910,0.87584
911,0.9016
912,0.9273600000000001
913,0.9273600000000001
914,0.9273600000000001
915,0.9273600000000001
916,0.9273600000000001
917,0.9273600000000001
918,0.9273600000000001
919,0.9273600000000001
920,0.9273600000000001
921,0.9273600000000001
922,0.9273600000000001
923,0.9788800000000002
924,0.9273600000000001
925,0.9273600000000001
926,0.9273600000000001
927,0.9273600000000001
928,0.9273600000000001
929,0.87584
930,0.87584
931,0.9273600000000001
932,0.9273600000000001
933,0.9273600000000001
934,0.9273600000000001
935,0.9273600000000001
936,0.9273600000000001
937,0.9273600000000001
938,0.9273600000000001
939,0.9273600000000001
940,0.9531200000000002
941,0.9788800000000002
942,0.9788800000000002
943,0.9788800000000002
944,0.9788800000000002
945,0.9788800000000002
946,0.9788800000000002
947,0.9788800000000002
948,0.9788800000000002
949,0.9788800000000002
950,1.0304000000000002
951,1.0046400000000002
952,0.9788800000000002
953,0.9788800000000002
954,0.9788800000000002
955,0.9788800000000002
956,0.9788800000000002
957,0.9788800000000002
958,0.9788800000000002
959,0.9788800000000002
960,0.9788800000000002
961,1.0046400000000002
962,1.0304000000000002
963,1.0304000000000002
964,1.0304000000000002
965,1.0304000000000002
966,1.0304000000000002
967,1.0304000000000002
968,1.0304000000000002
969,1.0304000000000002
970,1.0304000000000002
971,1.0304000000000002
972,1.0304000000000002
973,1.0819200000000002
974,1.0304000000000002
975,1.0304000000000002
976,1.0819200000000002
977,1.0819200000000002
978,1.0819200000000002
979,1.0819200000000002
980,1.0819200000000002
981,1.0819200000000002
982,1.0819200000000002
983,1.1334400000000004
984,1.1334400000000004
985,1.1334400000000004
986,1.1334400000000004
987,1.1334400000000004
988,1.1334400000000004
989,1.1334400000000004
990,1.1334400000000004
991,1.1334400000000004
992,1.1334400000000004
993,1.1334400000000004
994,1.1334400000000004
995,1.1334400000000004
996,1.1334400000000004
997,1.1334400000000004
998,1.1334400000000004
999,1.1334400000000004
1000,1.1334400000000004
1001,1.1334400000000004
1002,1.1334400000000004
1003,1.1334400000000004
1004,1.1334400000000004
1005,1.1592000000000007
1006,1.1849600000000007
1007,1.1849600000000007
1008,1.1334400000000004
1009,1.1334400000000004
1010,1.1334400000000004
1011,1.1334400000000004
1012,1.1592000000000007
1013,1.1334400000000004
1014,1.1592000000000007
1015,1.1334400000000004
1016,1.1334400000000004
1017,1.1334400000000004
1018,1.1334400000000004
1019,1.1334400000000004
1020,1.1334400000000004
1021,1.0819200000000002
1022,1.0819200000000002
1023,1.1076800000000002
1024,1.1076800000000002
1025,1.1076800000000002
1026,1.1334400000000004
1027,1.1334400000000004
1028,1.1334400000000004
1029,1.1334400000000004
1030,1.1334400000000004
1031,1.1334400000000004
1032,1.1334400000000004
1033,1.0819200000000002
1034,1.1334400000000004
1035,1.1334400000000004
1036,1.1334400000000004
1037,1.1076800000000002
1038,1.0819200000000002
1039,1.1334400000000004
1040,1.1076800000000002
1041,1.1334400000000004
1042,1.1334400000000004
1043,1.1076800000000002
1044,1.1334400000000004
1045,1.1334400000000004
1046,1.1076800000000002
1047,1.0819200000000002
1048,1.0819200000000002
1049,1.1334400000000004
1050,1.1334400000000004
1051,1.0819200000000002
1052,1.0819200000000002
1053,1.0819200000000002
1054,1.0819200000000002
1055,1.0819200000000002
1056,1.0819200000000002
1057,1.0819200000000002
1058,1.0819200000000002
1059,1.0819200000000002
1060,1.0819200000000002
1061,1.0819200000000002
1062,1.0561600000000002
1063,1.0304000000000002
1064,1.0304000000000002
1065,1.0304000000000002
1066,1.0304000000000002
1067,1.0304000000000002
