,Weekday - Level 2 - Diversified (Median) of 100 EVs
1208,1.4425600000000012
1209,1.4425600000000012
1210,1.4425600000000012
1211,1.4425600000000012
1212,1.4425600000000012
1213,1.4425600000000012
1214,1.494080000000001
1215,1.494080000000001
1216,1.494080000000001
1217,1.494080000000001
1218,1.494080000000001
1219,1.494080000000001
1220,1.494080000000001
1221,1.494080000000001
1222,1.494080000000001
1223,1.494080000000001
1224,1.494080000000001
1225,1.494080000000001
1226,1.494080000000001
1227,1.494080000000001
1228,1.494080000000001
1229,1.494080000000001
1230,1.494080000000001
1231,1.4683200000000012
1232,1.4425600000000012
1233,1.4425600000000012
1234,1.4425600000000012
1235,1.4425600000000012
1236,1.4683200000000012
1237,1.494080000000001
1238,1.494080000000001
1239,1.494080000000001
1240,1.494080000000001
1241,1.494080000000001
1242,1.494080000000001
1243,1.494080000000001
1244,1.4683200000000012
1245,1.4683200000000012
1246,1.4425600000000012
1247,1.4425600000000012
1248,1.4425600000000012
1249,1.4425600000000012
1250,1.4425600000000012
1251,1.4683200000000012
1252,1.4683200000000012
1253,1.494080000000001
1254,1.494080000000001
1255,1.494080000000001
1256,1.494080000000001
1257,1.494080000000001
1258,1.494080000000001
1259,1.494080000000001
1260,1.494080000000001
1261,1.494080000000001
1262,1.4425600000000012
1263,1.4425600000000012
1264,1.4425600000000012
1265,1.4425600000000012
1266,1.494080000000001
1267,1.4425600000000012
1268,1.4425600000000012
1269,1.4683200000000012
1270,1.494080000000001
1271,1.4683200000000012
1272,1.494080000000001
1273,1.494080000000001
1274,1.494080000000001
1275,1.494080000000001
1276,1.5198400000000012
1277,1.5198400000000012
1278,1.5456000000000012
1279,1.5456000000000012
1280,1.494080000000001
1281,1.494080000000001
1282,1.494080000000001
1283,1.494080000000001
1284,1.494080000000001
1285,1.5456000000000012
1286,1.494080000000001
1287,1.494080000000001
1288,1.494080000000001
1289,1.5198400000000012
1290,1.494080000000001
1291,1.5198400000000012
1292,1.494080000000001
1293,1.494080000000001
1294,1.494080000000001
1295,1.494080000000001
1296,1.4683200000000012
1297,1.4425600000000012
1298,1.494080000000001
1299,1.494080000000001
1300,1.4425600000000012
1301,1.4425600000000012
1302,1.4425600000000012
1303,1.4425600000000012
1304,1.4425600000000012
1305,1.4425600000000012
1306,1.4168000000000012
1307,1.4425600000000012
1308,1.4425600000000012
1309,1.4425600000000012
1310,1.4425600000000012
1311,1.4425600000000012
1312,1.4425600000000012
1313,1.391040000000001
1314,1.391040000000001
1315,1.391040000000001
1316,1.391040000000001
1317,1.391040000000001
1318,1.391040000000001
1319,1.365280000000001
1320,1.365280000000001
1321,1.3137600000000007
1322,1.339520000000001
1323,1.339520000000001
1324,1.339520000000001
1325,1.2880000000000007
1326,1.339520000000001
1327,1.2880000000000007
1328,1.2880000000000007
1329,1.2880000000000007
1330,1.2880000000000007
1331,1.2364800000000007
1332,1.2622400000000007
1333,1.2364800000000007
1334,1.2364800000000007
1335,1.2364800000000007
1336,1.2364800000000007
1337,1.2622400000000007
1338,1.2364800000000007
1339,1.2622400000000007
1340,1.2622400000000007
1341,1.2880000000000007
1342,1.2880000000000007
1343,1.2364800000000007
1344,1.2364800000000007
1345,1.2364800000000007
1346,1.2364800000000007
1347,1.2622400000000007
