,"Weekday - Level 2 - Diversified (Average) of 1,200 EVs"
1042,0.9015999999999968
1043,0.9230666666666631
1044,0.9230666666666631
1045,0.9273599999999965
1046,0.935946666666663
1047,0.935946666666663
1048,0.9402399999999963
1049,0.9402399999999963
1050,0.9574133333333295
1051,0.9574133333333295
1052,0.9574133333333295
1053,0.9745866666666625
1054,0.9917599999999956
1055,0.9960533333333289
1056,1.0046399999999955
1057,0.9960533333333289
1058,0.9960533333333289
1059,1.0046399999999955
1060,1.0175199999999953
1061,1.0261066666666618
1062,1.0389866666666616
1063,1.0518666666666614
1064,1.0561599999999947
1065,1.0561599999999947
1066,1.0604533333333281
1067,1.0647466666666612
1068,1.077626666666661
1069,1.0947999999999942
1070,1.1033866666666607
1071,1.1033866666666607
1072,1.090506666666661
1073,1.0990933333333275
1074,1.107679999999994
1075,1.1162666666666605
1076,1.1205599999999938
1077,1.1248533333333273
1078,1.1248533333333273
1079,1.137733333333327
1080,1.15490666666666
1081,1.1720799999999931
1082,1.1720799999999931
1083,1.1634933333333266
1084,1.1591999999999933
1085,1.15490666666666
1086,1.1634933333333266
1087,1.1720799999999931
1088,1.1806666666666596
1089,1.1892533333333264
1090,1.1892533333333264
1091,1.1892533333333264
1092,1.197839999999993
1093,1.2064266666666597
1094,1.2150133333333264
1095,1.2150133333333264
1096,1.2235999999999931
1097,1.2278933333333266
1098,1.2364799999999936
1099,1.23218666666666
1100,1.2407733333333268
1101,1.2450666666666603
1102,1.2407733333333268
1103,1.2450666666666603
1104,1.2579466666666606
1105,1.262239999999994
1106,1.2665333333333273
1107,1.283706666666661
1108,1.2794133333333275
1109,1.283706666666661
1110,1.2879999999999945
1111,1.2794133333333275
1112,1.2879999999999945
1113,1.283706666666661
1114,1.2794133333333275
1115,1.2879999999999945
1116,1.2922933333333277
1117,1.2922933333333277
1118,1.2922933333333277
1119,1.2922933333333277
1120,1.2922933333333277
1121,1.3008799999999945
1122,1.326639999999995
1123,1.335226666666662
1124,1.3309333333333284
1125,1.335226666666662
1126,1.3309333333333284
1127,1.335226666666662
1128,1.3309333333333284
1129,1.3309333333333284
1130,1.3566933333333289
1131,1.3481066666666621
1132,1.3523999999999956
1133,1.3481066666666621
1134,1.3566933333333289
1135,1.3609866666666623
1136,1.3566933333333289
1137,1.378159999999996
1138,1.378159999999996
1139,1.378159999999996
1140,1.3867466666666628
1141,1.391039999999996
1142,1.3953333333333295
1143,1.4082133333333298
1144,1.4167999999999965
1145,1.42109333333333
1146,1.4082133333333298
1147,1.4253866666666635
1148,1.4296799999999967
1149,1.4253866666666635
1150,1.4296799999999967
1151,1.42109333333333
1152,1.4339733333333302
1153,1.4339733333333302
1154,1.4296799999999967
1155,1.4296799999999967
1156,1.42109333333333
1157,1.42109333333333
1158,1.412506666666663
1159,1.42109333333333
1160,1.4167999999999965
1161,1.4253866666666635
1162,1.3996266666666628
1163,1.391039999999996
