,Weekend - Level 1 - Diversified (Median) of 100 EVs
996,0.6624000000000001
997,0.6992000000000002
998,0.6992000000000002
999,0.6992000000000002
1000,0.6992000000000002
1001,0.6992000000000002
1002,0.6992000000000002
1003,0.6624000000000001
1004,0.6624000000000001
1005,0.6992000000000002
1006,0.6992000000000002
1007,0.6992000000000002
1008,0.6992000000000002
1009,0.6624000000000001
1010,0.6992000000000002
1011,0.6992000000000002
1012,0.6992000000000002
1013,0.6992000000000002
1014,0.6992000000000002
1015,0.6992000000000002
1016,0.6992000000000002
1017,0.7360000000000002
1018,0.7360000000000002
1019,0.6992000000000002
1020,0.6992000000000002
1021,0.6992000000000002
1022,0.6992000000000002
1023,0.6992000000000002
1024,0.6992000000000002
1025,0.6992000000000002
1026,0.6992000000000002
1027,0.6992000000000002
1028,0.7176000000000002
1029,0.7360000000000002
1030,0.7360000000000002
1031,0.7360000000000002
1032,0.7360000000000002
1033,0.7360000000000002
1034,0.6992000000000002
1035,0.7360000000000002
1036,0.7360000000000002
1037,0.7360000000000002
1038,0.7360000000000002
1039,0.7360000000000002
1040,0.7360000000000002
1041,0.7360000000000002
1042,0.7360000000000002
1043,0.7360000000000002
1044,0.7360000000000002
1045,0.7360000000000002
1046,0.7360000000000002
1047,0.7176000000000002
1048,0.7360000000000002
1049,0.7360000000000002
1050,0.7360000000000002
1051,0.7728000000000003
1052,0.7728000000000003
1053,0.7728000000000003
1054,0.7728000000000003
1055,0.7728000000000003
1056,0.7728000000000003
1057,0.7728000000000003
1058,0.7728000000000003
1059,0.8096000000000003
1060,0.8096000000000003
1061,0.7728000000000003
1062,0.7728000000000003
1063,0.7728000000000003
1064,0.7912000000000003
1065,0.8096000000000003
1066,0.8096000000000003
1067,0.8096000000000003
1068,0.7728000000000003
1069,0.7912000000000003
1070,0.7728000000000003
1071,0.7728000000000003
1072,0.7728000000000003
1073,0.7728000000000003
1074,0.7728000000000003
1075,0.7728000000000003
1076,0.7728000000000003
1077,0.7728000000000003
1078,0.7728000000000003
1079,0.7728000000000003
1080,0.7728000000000003
1081,0.7360000000000002
1082,0.7728000000000003
1083,0.7728000000000003
1084,0.7728000000000003
1085,0.7728000000000003
1086,0.7360000000000002
1087,0.7360000000000002
1088,0.7360000000000002
1089,0.7360000000000002
1090,0.7360000000000002
1091,0.7360000000000002
1092,0.7360000000000002
1093,0.7360000000000002
1094,0.7360000000000002
1095,0.7360000000000002
1096,0.7360000000000002
1097,0.7360000000000002
1098,0.7360000000000002
1099,0.7360000000000002
1100,0.7176000000000002
1101,0.6992000000000002
1102,0.6992000000000002
1103,0.6992000000000002
1104,0.6992000000000002
1105,0.6992000000000002
1106,0.6992000000000002
1107,0.6992000000000002
1108,0.7360000000000002
1109,0.7360000000000002
1110,0.7360000000000002
1111,0.7360000000000002
1112,0.7544000000000002
1113,0.7728000000000003
1114,0.7360000000000002
1115,0.7360000000000002
1116,0.7360000000000002
1117,0.7360000000000002
1118,0.7360000000000002
1119,0.7360000000000002
1120,0.7360000000000002
1121,0.7176000000000002
1122,0.7360000000000002
1123,0.7176000000000002
1124,0.6992000000000002
1125,0.6992000000000002
1126,0.6992000000000002
1127,0.6992000000000002
1128,0.6992000000000002
1129,0.6992000000000002
1130,0.6992000000000002
1131,0.6992000000000002
1132,0.7360000000000002
1133,0.7360000000000002
1134,0.7360000000000002
1135,0.7360000000000002
1136,0.7360000000000002
1137,0.7360000000000002
1138,0.7360000000000002
1139,0.7360000000000002
1140,0.7360000000000002
1141,0.7360000000000002
1142,0.7360000000000002
1143,0.7360000000000002
1144,0.7360000000000002
1145,0.7360000000000002
1146,0.7360000000000002
1147,0.7360000000000002
1148,0.7360000000000002
1149,0.7360000000000002
1150,0.7360000000000002
1151,0.7360000000000002
1152,0.7360000000000002
1153,0.7360000000000002
1154,0.7360000000000002
1155,0.7360000000000002
1156,0.7360000000000002
1157,0.7360000000000002
1158,0.7360000000000002
1159,0.7360000000000002
1160,0.7360000000000002
1161,0.7360000000000002
1162,0.7360000000000002
1163,0.7176000000000002
1164,0.7176000000000002
1165,0.6992000000000002
1166,0.6992000000000002
1167,0.6992000000000002
1168,0.6992000000000002
1169,0.6992000000000002
1170,0.7176000000000002
1171,0.6992000000000002
1172,0.7176000000000002
1173,0.6992000000000002
1174,0.6992000000000002
1175,0.6992000000000002
1176,0.6992000000000002
1177,0.7360000000000002
1178,0.7360000000000002
1179,0.6992000000000002
1180,0.6992000000000002
1181,0.6992000000000002
1182,0.6992000000000002
1183,0.6992000000000002
1184,0.6992000000000002
1185,0.6992000000000002
1186,0.7176000000000002
1187,0.6992000000000002
1188,0.6992000000000002
1189,0.6992000000000002
1190,0.6992000000000002
1191,0.6992000000000002
1192,0.6992000000000002
1193,0.6992000000000002
