,Weekend - Level 1 - Diversified (75th percentile) of 100 EVs
1164,0.8096000000000003
1165,0.8096000000000003
1166,0.8096000000000003
1167,0.8188000000000003
1168,0.8096000000000003
1169,0.8464000000000005
1170,0.8464000000000005
1171,0.8188000000000003
1172,0.8096000000000003
1173,0.8096000000000003
1174,0.8096000000000003
1175,0.8096000000000003
1176,0.8096000000000003
1177,0.8096000000000003
1178,0.8096000000000003
1179,0.8096000000000003
1180,0.8096000000000003
1181,0.8096000000000003
1182,0.8096000000000003
1183,0.8096000000000003
1184,0.8096000000000003
1185,0.8096000000000003
1186,0.8096000000000003
1187,0.8096000000000003
1188,0.8096000000000003
1189,0.8096000000000003
1190,0.8096000000000003
1191,0.8188000000000003
1192,0.8096000000000003
1193,0.8096000000000003
1194,0.8096000000000003
1195,0.8096000000000003
1196,0.8096000000000003
1197,0.8188000000000003
1198,0.8188000000000003
1199,0.8096000000000003
1200,0.8096000000000003
1201,0.8096000000000003
1202,0.8096000000000003
1203,0.8096000000000003
1204,0.8096000000000003
1205,0.8096000000000003
1206,0.8096000000000003
1207,0.8096000000000003
1208,0.8096000000000003
1209,0.8096000000000003
1210,0.8096000000000003
1211,0.8096000000000003
1212,0.8096000000000003
1213,0.8096000000000003
1214,0.8096000000000003
1215,0.8096000000000003
1216,0.8096000000000003
1217,0.8096000000000003
1218,0.8096000000000003
1219,0.8096000000000003
1220,0.8096000000000003
1221,0.8096000000000003
1222,0.7820000000000003
1223,0.7820000000000003
1224,0.7728000000000003
1225,0.8096000000000003
1226,0.8096000000000003
1227,0.8096000000000003
1228,0.8096000000000003
1229,0.8096000000000003
1230,0.7820000000000003
1231,0.7728000000000003
1232,0.7728000000000003
1233,0.7728000000000003
1234,0.8096000000000003
1235,0.8096000000000003
1236,0.7728000000000003
1237,0.7452000000000002
1238,0.7360000000000002
1239,0.7360000000000002
1240,0.7360000000000002
1241,0.7360000000000002
1242,0.7360000000000002
1243,0.7360000000000002
1244,0.7360000000000002
1245,0.7360000000000002
1246,0.7360000000000002
1247,0.7360000000000002
1248,0.7360000000000002
1249,0.7360000000000002
1250,0.6992000000000002
1251,0.6992000000000002
1252,0.6992000000000002
1253,0.6992000000000002
1254,0.6992000000000002
1255,0.6992000000000002
1256,0.6624000000000001
1257,0.6624000000000001
1258,0.6624000000000001
1259,0.6992000000000002
1260,0.6624000000000001
1261,0.6992000000000002
1262,0.6992000000000002
1263,0.6624000000000001
1264,0.6624000000000001
1265,0.6624000000000001
1266,0.6624000000000001
1267,0.6624000000000001
1268,0.6624000000000001
1269,0.6992000000000002
1270,0.6992000000000002
1271,0.6992000000000002
1272,0.6992000000000002
1273,0.6992000000000002
1274,0.6992000000000002
1275,0.6624000000000001
1276,0.6624000000000001
1277,0.6624000000000001
1278,0.6992000000000002
1279,0.6992000000000002
1280,0.6716000000000001
1281,0.6624000000000001
1282,0.6624000000000001
1283,0.6624000000000001
1284,0.6624000000000001
1285,0.6624000000000001
1286,0.6624000000000001
1287,0.6624000000000001
1288,0.6624000000000001
1289,0.6624000000000001
1290,0.6624000000000001
1291,0.6624000000000001
1292,0.6624000000000001
1293,0.6624000000000001
1294,0.6624000000000001
1295,0.6624000000000001
1296,0.6624000000000001
1297,0.6624000000000001
1298,0.6624000000000001
1299,0.6624000000000001
1300,0.6624000000000001
1301,0.6624000000000001
1302,0.6624000000000001
1303,0.6624000000000001
1304,0.6624000000000001
1305,0.6624000000000001
1306,0.6624000000000001
1307,0.6624000000000001
1308,0.6624000000000001
1309,0.6624000000000001
1310,0.6624000000000001
1311,0.6256
1312,0.6348
1313,0.6348
1314,0.6256
1315,0.6256
1316,0.6256
1317,0.6256
1318,0.6256
1319,0.6256
